Price,close,High,Low,Open,Volume
Ticker,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS,VESUVIUS.NS
Date,,,,,
2022-10-18,1426.65869140625,1457.4962289142154,1419.172353891903,1443.7135002736145,4733
2022-10-19,1500.97607421875,1513.0235694766734,1420.411710202054,1420.411710202054,25482
2022-10-20,1480.9962158203125,1500.2325329157095,1472.0226569686438,1485.9540232655065,10841
2022-10-21,1451.596435546875,1512.1313146238062,1437.7642007898485,1480.897126813544,5656
2022-10-24,1478.4677734375,1486.3506386822023,1439.400227438877,1465.5278478801167,1862
2022-10-25,1466.916015625,1499.1417623608734,1460.569998213585,1470.535239081841,3780
2022-10-27,1460.81787109375,1481.591034555767,1416.8421460514903,1481.591034555767,9472
2022-10-28,1459.1817626953125,1475.4433942050775,1442.721867317465,1475.4433942050775,2938
2022-10-31,1488.38330078125,1517.0889551438684,1444.7545988032564,1444.7545988032564,9291
2022-11-01,1468.5521240234375,1495.27465650443,1440.0942379764456,1471.4771818651022,4291
2022-11-02,1465.9739990234375,1477.0299335625377,1444.4571636562127,1468.5521556637507,3040
2022-11-03,1484.6153564453125,1501.224010457975,1439.9950919336818,1476.4349746181801,3834
2022-11-04,1527.649169921875,1561.7092814716418,1472.5183775903479,1484.367488484475,92457
2022-11-07,1552.5869140625,1586.4982660839598,1527.0045811058114,1542.8199372797512,17351
2022-11-09,1553.0826416015625,1571.6247910355519,1532.4581164324577,1561.7091772119836,4305
2022-11-10,1545.1998291015625,1571.922483974031,1512.1312775032247,1537.5648540181267,9975
2022-11-11,1541.3326416015625,1604.2472879859415,1535.3337674762906,1565.030984373356,6017
2022-11-14,1507.4212646484375,1564.4360468995708,1468.998259218326,1564.4360468995708,13611
2022-11-15,1687.240966796875,1714.3106432421314,1616.2948165093921,1638.05954227793,201078
2022-11-16,1668.748291015625,1710.4434983331068,1655.9076186761092,1703.2546778328663,43205
2022-11-17,1647.9752197265625,1723.7305428438185,1639.299056566149,1667.8064498075078,33231
2022-11-18,1635.134521484375,1680.894987359273,1627.3506669652963,1657.543786922699,13251
2022-11-21,1634.9361572265625,1684.5142322920508,1631.06904316341,1636.0764771611132,34523
2022-11-22,1648.470947265625,1704.4941704358553,1632.159809466663,1645.9920435855263,31444
2022-11-23,1634.142822265625,1683.1258588506269,1629.1353887532512,1632.6058536714718,18594
2022-11-24,1695.1239013671875,1732.257828730119,1645.9919837962207,1645.9919837962207,32753
2022-11-25,1722.2430419921875,1763.9877532604032,1710.4434369725664,1746.1396478311242,48767
2022-11-28,1704.0975341796875,1741.181957714917,1696.561691144774,1734.2410273595613,29420
2022-11-29,1690.7611083984375,1716.3929488511687,1685.6545424881497,1716.3929488511687,7057
2022-11-30,1725.0689697265625,1744.156526942965,1691.15761778935,1696.5615790786885,16257
2022-12-01,1728.4898681640625,1760.0215706343301,1720.3591127045424,1727.3000428422554,25209
2022-12-02,1723.4825439453125,1745.1481372364838,1713.4677975930779,1724.3253469626393,10256
2022-12-05,1724.9202880859375,1738.207235830851,1692.645035252969,1732.2578670829987,7319
2022-12-06,1720.160888671875,1754.022616081535,1711.9805065343894,1735.1334426791082,6138
2022-12-07,1716.3929443359375,1753.0807195759314,1706.3285709742192,1735.232612702421,37455
2022-12-08,1678.911865234375,1728.9362149927304,1675.689290394212,1724.4741882909661,9351
2022-12-09,1645.0994873046875,1696.5615479466458,1638.009799117792,1678.9117066881013,11619
2022-12-12,1662.0552978515625,1690.6123167798255,1633.3992680239508,1645.9920503545516,8784
2022-12-13,1650.0078125,1670.186062982687,1637.6132948767022,1654.9159930627416,4834
2022-12-14,1680.994140625,1685.65443092972,1648.5700092412237,1669.7894480503817,4879
2022-12-15,1654.4698486328125,1684.613218838843,1646.0415765991054,1680.994116503597,3445
2022-12-16,1605.932861328125,1662.6502475189784,1588.7292947952114,1642.0257214422659,8316
2022-12-19,1690.06689453125,1700.527916427401,1606.42870897215,1606.42870897215,15519
2022-12-20,1700.7261962890625,1710.4435471760635,1674.7969605075255,1703.5026168396969,7686
2022-12-21,1663.046875,1699.4372541405705,1645.9920658661497,1690.66195920228,6644
2022-12-22,1591.8031005859375,1679.705044632636,1587.9856133289059,1679.705044632636,7814
2022-12-23,1542.0762939453125,1612.8738045503487,1519.320007448079,1591.4561017811498,23473
2022-12-26,1581.292724609375,1586.4984225583949,1533.499508045893,1536.920346853445,5297
2022-12-27,1584.6639404296875,1606.329533697753,1556.8010881581583,1602.3632879355364,10570
2022-12-28,1576.4835205078125,1607.519320224199,1567.9561165328382,1590.2166219200933,3862
2022-12-29,1569.8896484375,1585.2092242553376,1561.659640076976,1576.483556215484,3835
2022-12-30,1599.4876708984375,1611.2872757721339,1573.2112937858458,1594.4307319640561,6271
2023-01-02,1602.660888671875,1611.287425240149,1575.244189197437,1593.9847256128896,9519
2023-01-03,1594.2325439453125,1645.9920030964768,1586.498316237568,1610.2957909811314,17142
2023-01-04,1600.7271728515625,1610.097501004054,1576.6323026884709,1586.5974224516494,3709
2023-01-05,1587.1923828125,1621.20298935387,1577.871801907716,1598.3970757421641,4869
2023-01-06,1576.6817626953125,1603.3547886439371,1572.6163851510726,1603.0572718069543,4330
2023-01-09,1577.6734619140625,1599.983595430339,1567.6587150770226,1592.4477523173296,3746
2023-01-10,1583.4739990234375,1600.3801700537845,1551.8927912511751,1600.3801700537845,5304
2023-01-11,1586.4984130859375,1590.4646591186522,1558.7346908569336,1582.5321670532226,6611
2023-01-12,1610.3453369140625,1633.9940520494376,1566.667008914015,1598.3969736515141,17881
2023-01-13,1599.5867919921875,1625.1691243671935,1587.3410329873345,1625.1691243671935,2965
2023-01-16,1596.9593505859375,1601.9666633121274,1586.4983288142319,1597.2072409498146,1306
2023-01-17,1598.4466552734375,1611.2873274049794,1583.6227392371834,1611.2377009172812,5338
2023-01-18,1611.485595703125,1621.2029461819527,1588.4814188278215,1589.0268260331427,3308
